species,subspecies,population,cluster,latitude,longitude
fuscata,fuscata,Shimokita,East,41.32,141.17
fuscata,fuscata,Yamagata,East,38.31,140.44
fuscata,fuscata,Jigokudani,East,36.73,138.46
fuscata,fuscata,Hagachizaki,East,34.7,138.75
fuscata,fuscata,Minoh,West,34.85,135.47
fuscata,fuscata,Okazaki,West,34.49,134.19
fuscata,fuscata,Tsubaki,West,33.61,135.4
fuscata,fuscata,Nakatosa,West,33.33,133.21
fuscata,fuscata,Takasakiyama,West,33.25,131.53
fuscata,fuscata,Kojima,West,31.45,131.37
fuscata,yakui,Yakushima,Yakushima,30.37,130.38
