region,population,latitude,longitude,cluster
Shimokita,Shimokita,41.32,141.17,East
Yamagata,Yamagata,38.31,140.44,East
Kinkazan,Kinkazan,38.3,141.57,East
Nikko,Nikko,36.87,139.62,East
Tone,Tone,36.73,138.98,East
Yasunaka,Yasunaka,36.34,138.78,East
Boso,Boso,35.25,140.05,East
Nagano,Nagano,35.57,137.89,
Hakusan,Hakusan,36.33,136.64,
Maibara,Maibara,35.36,136.37,
Ryozensan,Ryozensan,35.28,136.37,
Ryonan,Ryonan,35.54,135.88,West
Koka,Koka,34.93,136.16,West
Unnan,Unnan,35.29,132.87,West
Hasumi,Hasumi,34.87,132.63,West
Gobo,Noguchi,33.9,135.18,West
Naruto,Naruto,34.19,134.53,West
Naka,Naka,33.78,134.25,West
Nakatosa,Nakatosa,33.33,133.21,West
Takasakiyama,Takasakiyama,33.25,131.53,West
Satsuma,Satsuma,31.93,130.47,West
Kojima,Kojima,31.45,131.37,West
Yakushima,Yakushima,30.37,130.38,Yakushima
