seq_id,sample_id,sex,species,subspecies,population,cluster,individual_id,father_id,mother_id
SRR1944102,,female,mulatta,,China,,,,
SRR1952123,,female,mulatta,,China,,,,
DRR461558,,female,fuscata,fuscata,Hagachizaki,East,,,
DRR461561,,female,fuscata,fuscata,Hagachizaki,East,,,
SRR28315641,,female,mulatta,,India,,,,
SRR28315650,,male,mulatta,,India,,,,
SRR24738437,,female,fascicularis,,Indonesia,,,,
SRR24738440,,male,fascicularis,,Indonesia,,,,
DRR461590,,female,fuscata,fuscata,Jigokudani,East,,,
DRR461595,,male,fuscata,fuscata,Jigokudani,East,100,,
DRR461599,,male,fuscata,fuscata,Jigokudani,East,136,1997,2007
KJ-43,,female,fuscata,fuscata,Kojima,West,197,,
KJ-10,,female,fuscata,fuscata,Kojima,West,,,
DRR461544,,male,fuscata,fuscata,Minoh,West,202,,
DRR461582,,female,fuscata,fuscata,Minoh,West,323,,
DRR461600,,male,fuscata,fuscata,Minoh,West,359,,
H18-50,,female,fuscata,fuscata,Nakatosa,West,164,,
H20_113,,male,fuscata,fuscata,Nakatosa,West,175,,
DRR461554,,female,fuscata,fuscata,Okazaki,West,366,,
DRR461602,,male,fuscata,fuscata,Okazaki,West,502,366,359
DRR461604,,female,fuscata,fuscata,Okazaki,West,717,100,323
SM32,,female,fuscata,fuscata,Shimokita,East,722,197,202
SM43,,male,fuscata,fuscata,Shimokita,East,1997,,
4892,,female,fuscata,fuscata,Takasakiyama,West,2007,,
4894,,male,fuscata,fuscata,Takasakiyama,West,,,
DRR461570,,male,fuscata,fuscata,Tsubaki,West,,,
DRR461571,,female,fuscata,fuscata,Tsubaki,West,,,
DRR461601,,male,fuscata,fuscata,Tsubaki,West,,,
Mfy-1823,,female,fuscata,yakui,Yakushima,Yakushima,,,
Mfy-952,,female,fuscata,yakui,Yakushima,Yakushima,,,
Yaku_3,,female,fuscata,yakui,Yakushima,Yakushima,,,
Yaku-1,,female,fuscata,yakui,Yakushima,Yakushima,,,
Yaku-2,,female,fuscata,yakui,Yakushima,Yakushima,,,
Yaku-4,,male,fuscata,yakui,Yakushima,Yakushima,,,
Yaku-5,,male,fuscata,yakui,Yakushima,Yakushima,,,
YG-4,,female,fuscata,fuscata,Yamagata,East,,,
YG-5,,male,fuscata,fuscata,Yamagata,East,,,
DRR219373,,male,cyclopis,,,,,,
SRR4454026,,male,mulatta,tcheliensis,,,C_rhe_1,,
SRR5019367,,female,mulatta,lasiotis,,,C_rhe_58,,
SRR5019557,,female,mulatta,mulatta,,,C_rhe_72,,
SRR5019558,,male,mulatta,brevicaudus,,,C_rhe_22,,
SRR5019559,,male,mulatta,littoralis,,,C_rhe_21,,
