morph_id,acronym,catalogue_no,catalogue_no_ed,institute,subspecies,sex,prefecture,municipality,locality,region,population,landform,supernumerary_teeth,missing_teeth,rotated_or_abnormaly_oriented_teeth,bone_swelling,bone_depression,bone_deformity_likely_due_to_trauma ,broken,remarks
PRI-10044,PRI,10044,10044,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Mutsu-shi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10110,PRI,10110,10110,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Mutsu-shi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10126,PRI,10126,10126,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Shimokita-gun Saimura,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10228,PRI,10228,10228,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Shimokita-gun Omamachi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10635,PRI,10635,10635,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Shimokita-gun,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10651,PRI,10651,10651,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Mutsu-shi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10652,PRI,10652,10652,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Mutsu-shi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10653,PRI,10653,10653,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Mutsu-shi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10658,PRI,10658,10658,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Mutsu-shi,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
PRI-10673,PRI,10673,10673,"Center for the Evolutionary Origins of Human Behavior, Kyoto University",fuscata,female,Aomori,Shimokita-gun Saimura,Shimokita,Shimokita,Shimokita,peninsula,,,,,,,,
